Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2016-03-29,7606.55,7652.9,7582.25,7597.0,223493457.0,10474.75
2016-03-28,7741.0,7749.4,7587.7,7615.1,249905118.0,10102.36
2016-03-23,7717.45,7726.85,7670.6,7716.5,205794773.0,7612.54
2016-03-22,7695.55,7728.2,7643.8,7714.9,215355848.0,8628.05
2016-03-21,7619.2,7713.55,7617.7,7704.25,202853386.0,8381.51
2016-03-18,7534.65,7613.6,7517.9,7604.35,244727490.0,9971.59
2016-03-17,7557.4,7585.3,7479.4,7512.55,247043954.0,9539.89
2016-03-15,7535.85,7545.2,7452.8,7460.6,199653871.0,7577.78
2016-03-14,7542.6,7583.7,7515.05,7538.75,172067214.0,6330.45
2016-03-11,7484.85,7543.95,7460.6,7510.2,204806572.0,7558.55
2016-03-10,7545.35,7547.1,7447.4,7486.15,231584305.0,8875.92
2016-03-09,7436.1,7539.0,7424.3,7531.8,252709391.0,9036.29
2016-03-08,7486.4,7527.15,7442.15,7485.3,264945393.0,8417.86
2016-03-04,7505.4,7505.9,7444.1,7485.35,290441230.0,8135.06
2016-03-03,7429.55,7483.95,7406.05,7475.6,287248532.0,9255.43
2016-03-02,7321.7,7380.35,7308.15,7368.85,348965708.0,10983.06
2016-03-01,7038.25,7235.5,7035.1,7222.3,283561570.0,9896.58
2016-02-29,7050.45,7094.6,6825.8,6987.05,487969285.0,15992.15
2016-02-26,7039.3,7052.9,6985.1,7029.75,213142575.0,6880.96
2016-02-25,7029.85,7034.2,6961.4,6970.6,291932544.0,9090.16
2016-02-24,7075.0,7090.8,7009.75,7018.7,205898417.0,6497.18
2016-02-23,7240.3,7241.7,7090.7,7109.55,,
2016-02-22,7208.85,7252.4,7200.7,7234.55,159162842.0,5832.89
2016-02-19,7170.55,7226.85,7145.95,7210.75,,
2016-02-18,7177.4,7215.1,7127.85,7191.75,254331498.0,8051.51
2016-02-17,7058.85,7123.7,6960.65,7108.45,268017961.0,7686.32
